City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
433,Hurghada,EG,27.2574,33.8129,55.44,47,0,11.5,clear sky
434,Peniche,PT,39.3558,-9.3811,59.11,93,100,12.3,overcast clouds
435,Gorontalo,ID,0.5412,123.0595,86.76,64,100,6.67,overcast clouds
436,Brae,GB,60.3964,-1.353,37.31,65,20,7.49,few clouds
437,Santa Fe Do Sul,BR,-20.2111,-50.9258,70.74,56,0,3.31,clear sky
438,Kapoeta,SS,4.7717,33.5903,78.71,59,55,11.95,broken clouds
439,Venice,US,27.0998,-82.4543,67.14,93,1,0.0,clear sky
440,Trenggalek,ID,-8.05,111.7167,83.5,73,92,4.56,overcast clouds
441,Wysokie Mazowieckie,PL,52.9166,22.5171,15.01,88,6,13.06,clear sky
442,Berlevag,NO,70.8578,29.0864,28.13,82,100,24.25,light snow
443,Westport,US,41.1415,-73.3579,48.34,95,90,1.01,mist
444,Oga,IT,46.4631,10.347,30.88,90,100,0.76,overcast clouds
445,Akdagmadeni,TR,39.6603,35.8836,25.16,54,7,3.98,clear sky
446,Torbay,CA,47.6666,-52.7314,27.57,85,75,17.27,broken clouds
447,Ko Samui,TH,9.5357,99.9357,80.51,83,20,9.22,few clouds
448,Skelleftea,SE,64.7507,20.9528,16.16,79,90,10.36,light snow
449,Mpika,ZM,-11.8343,31.4529,63.34,81,100,4.47,overcast clouds
450,Ravar,IR,31.2656,56.8055,42.75,36,0,5.39,clear sky
451,Kununurra,AU,-15.7667,128.7333,84.18,65,90,12.66,overcast clouds
452,Ibra,OM,22.6906,58.5334,65.53,60,100,1.9,overcast clouds
453,Maceio,BR,-9.6658,-35.7353,81.84,83,75,3.44,moderate rain
454,Contai,IN,21.7786,87.7536,69.01,72,0,0.6,clear sky
455,Gidole,ET,5.65,37.3667,57.25,73,27,2.19,scattered clouds
456,Port Blair,IN,11.6667,92.75,79.23,69,12,9.53,few clouds
457,Kunnamangalam,IN,11.3046,75.8777,72.23,79,75,3.09,broken clouds
458,Bud,US,39.447,-86.1758,53.11,89,0,5.3,clear sky
459,Palmer,US,42.1584,-72.3287,36.46,87,90,0.0,mist
460,Tarazona,ES,41.9,-1.7333,43.54,82,100,1.74,overcast clouds
461,Saldanha,ZA,-33.0117,17.9442,62.65,90,12,9.37,few clouds
462,Virginia Beach,US,36.8529,-75.978,66.25,68,1,17.27,clear sky
463,Gubkinskiy,RU,64.434,76.5026,-13.31,97,24,11.97,few clouds
464,Makinsk,KZ,52.6292,70.4169,-4.0,98,83,5.79,broken clouds
465,Kenai,US,60.5544,-151.2583,18.09,90,1,0.0,clear sky
466,Chuzhou,CN,32.3219,118.2978,25.75,23,22,9.91,few clouds
467,Port Hawkesbury,CA,45.6169,-61.3485,32.59,94,90,4.0,light snow
468,Baoying,CN,33.2292,119.3092,24.94,27,6,10.2,clear sky
469,Puerto Gaitan,CO,4.3133,-72.0816,84.13,46,31,7.67,scattered clouds
470,Ucluelet,CA,48.9329,-125.5528,32.09,85,100,6.49,light snow
471,Rawson,AR,-43.3002,-65.1023,64.92,63,0,10.94,clear sky
472,Boca Do Acre,BR,-8.7522,-67.3978,78.3,85,99,2.55,overcast clouds
473,Almeirim,BR,-1.5233,-52.5817,75.76,89,100,3.58,overcast clouds
474,Krasnovka,RU,48.8177,40.0923,27.5,97,100,8.25,snow
475,Margate,GB,51.3813,1.3862,42.96,94,100,1.99,overcast clouds
476,Bekwai,GH,6.4534,-1.5774,72.25,96,20,1.9,few clouds
477,Saint-Paul,RE,-21.0096,55.2707,77.74,82,45,0.6,scattered clouds
478,Kalmar,SE,56.6616,16.3616,26.96,86,26,12.66,scattered clouds
479,Yaan,NG,7.3833,8.5667,76.5,23,80,6.31,broken clouds
480,Vigrestad,NO,58.5667,5.7,21.81,82,11,8.03,few clouds
